# Week 1
0;8km, Ruhiger Dauerlauf (75%-80% HFR);
1;12km, Lockerer Dauerlauf (80%-85% HFR);
2;10km, Ruhiger Dauerlauf (75%-80% HFR);, anschließend 5 Steigerungen
3;Intervall-Training;: Einlaufen 3km, Tempoläufe 1 x 2,400m in 9 min, 6 min Trabpause, 5 x 800m in 3 min mit 3 min Trabpause, Auslaufen 3km
4;8km, Ruhiger Dauerlauf (75%-80% HFR);
6;25km, Langsamer Dauerlauf (70%-75% HFR); (vorsichtig beginnen)

# Week 2
7;8km, Ruhiger Dauerlauf (75%-80% HFR);
8;10km, Ruhiger Dauerlauf (75%-80% HFR);
9;Intervall-Training;: Einlaufen 3km, Tempoläufe 10 x 800m in 3 min mit 2:30 min Trabpause, Auslaufen 3km
10;10km, Ruhiger Dauerlauf (75%-80% HFR);
12;8km, Lockerer Dauerlauf (80%-85% HFR);, anschließend 5 Steigerungen
13;10km, Wettkampf;: Einlaufen 10 min, Wettkampf 10km, Auslaufen 15 min

# Week 3
14;8km, Ruhiger Dauerlauf (75%-80% HFR);
15;8km, Ruhiger Dauerlauf (75%-80% HFR);
16;15km, Lockerer Dauerlauf (80%-85% HFR);
18;19km, Fahrtspiel;: Einlaufen 2km, Fahrtspiel 15km, Auslaufen 2km
19;10km, Ruhiger Dauerlauf (75%-80% HFR);
20;30km, Langsamer Dauerlauf (70%-75% HFR);

# Week 4
21;8km, Ruhiger Dauerlauf (75%-80% HFR);
22;Intervall-Training;: Einlaufen 2km, Tempoläufe 5 x 1.600m in 6 min mit 4 min Trabpause, Auslaufen 2km
24;8km, Lockerer Dauerlauf (80%-85% HFR);
25;15km, Marathon-Renntempo;: Einlaufen 3km, Marathon-Renntempo 8km, Auslaufen 4km
26;10km, Ruhiger Dauerlauf (75%-80% HFR);
27;35km, Langsamer Dauerlauf (70%-75% HFR); (sehr vorsichtig beginnen)

# Week 5
28;10km, Ruhiger Dauerlauf (75%-80% HFR);
29;Intervalltraining;: Einlaufen 3km, Tempoläufe 12 bis 15 x 400m im 10km-Renntempo mit 200m Trabpause, Auslaufen 3km
30;10km, Ruhiger Dauerlauf (75%-80% HFR);
#31 recovery
32;16km, Marathon-Renntempo;: Einlaufen 3km, Marathon-Renntempo 10km, Auslaufen 3km
33;12km, Ruhiger Dauerlauf (75%-80% HFR);
34;30km, Langsamer Dauerlauf (70%-75% HFR);, anschließend 5 Steigerungen

# Week 6
35;8km, Ruhiger Dauerlauf (75%-80% HFR);
36;10km, Ruhiger Dauerlauf (75%-80% HFR);
37;Intervall-Training;: Einlaufen 3km, Tempoläufe 5 x 1000m im 10km-Renntempo mit 3 min Trabpause, Auslaufen 3km
38;8km, Langsamer Dauerlauf (70%-75% HFR);
#39 recovery
40;5km, Langsamer Dauerlauf (70%-75% HFR);, anschließend 5 Steigerungen
